Stock UrLaB,Bac Vidange,Bac Vide,Bac Plein,Stock,Bouteille vide
,,,,,
,,,,,
Club_Mate,7,2,0,0,6
Club_Mate_Ice,0,0,3,11,0
Club_Mate_Granat,0,0,3,17,0
Club_Mate_Zero,0,0,0,0,0
,,,,,
Coca,0,0,0,8,0
Orangina,0,0,0,7,0
Fanta,0,0,0,7,0
Sprite,0,0,0,2,0
Rodeo,0,0,0,1,0
,,,,,
,,,,,
Jupiler,0,1,1,14,21
Faxe,0,0,0,1,0
,,,,,
Chips Original,0,0,0,19,0
Chips Paprika,0,0,0,20,0
Gaufre normal,0,0,0,0,0
Gaufre chocolat,0,0,0,0,0
